,#,Title,Editorial,Acceptance,Difficulty,Frequency 
,1,Two Sum   ,,32.20%,Easy,
,2,Add Two Numbers   ,,27.10%,Medium,
,3,Longest Substring Without Repeating Characters   ,,24.00%,Medium,
,4,Median of Two Sorted Arrays   ,,21.20%,Hard,
,5,Longest Palindromic Substring   ,,25.00%,Medium,
,6,ZigZag Conversion   ,,26.30%,Medium,
,7,Reverse Integer   ,,24.00%,Easy,
,8,String to Integer (atoi)   ,,13.90%,Medium,
,9,Palindrome Number   ,,34.60%,Easy,
,10,Regular Expression Matching   ,,23.90%,Hard,
,11,Container With Most Water   ,,36.20%,Medium,
,12,Integer to Roman   ,,43.70%,Medium,
,13,Roman to Integer   ,,44.60%,Easy,
,14,Longest Common Prefix   ,,31.00%,Easy,
,15,3Sum   ,,21.40%,Medium,
,16,3Sum Closest   ,,30.70%,Medium,
,17,Letter Combinations of a Phone Number   ,,33.40%,Medium,
,18,4Sum   ,,26.10%,Medium,
,19,Remove Nth Node From End of List   ,,32.70%,Medium,
,20,Valid Parentheses   ,,32.80%,Easy,
,21,Merge Two Sorted Lists   ,,38.50%,Easy,
,22,Generate Parentheses   ,,43.20%,Medium,
,23,Merge k Sorted Lists   ,,26.60%,Hard,
,24,Swap Nodes in Pairs   ,,37.70%,Medium,
,25,Reverse Nodes in k-Group   ,,30.20%,Hard,
,26,Remove Duplicates from Sorted Array   ,,35.50%,Easy,
,27,Remove Element   ,,37.90%,Easy,
,28,Implement strStr()   ,,27.50%,Easy,
,29,Divide Two Integers   ,,16.00%,Medium,
,30,Substring with Concatenation of All Words   ,,21.80%,Hard,
,31,Next Permutation   ,,28.50%,Medium,
,32,Longest Valid Parentheses   ,,23.00%,Hard,
,33,Search in Rotated Sorted Array   ,,32.10%,Medium,
,34,Search for a Range   ,,31.10%,Medium,
,35,Search Insert Position   ,,39.30%,Easy,
,36,Valid Sudoku   ,,34.70%,Medium,
,37,Sudoku Solver   ,,29.00%,Hard,
,38,Count and Say   ,,33.50%,Easy,
,39,Combination Sum   ,,37.00%,Medium,
,40,Combination Sum II   ,,32.30%,Medium,
,41,First Missing Positive   ,,25.20%,Hard,
,42,Trapping Rain Water   ,,36.00%,Hard,
,43,Multiply Strings   ,,26.40%,Medium,
,44,Wildcard Matching   ,,19.50%,Hard,
,45,Jump Game II   ,,26.10%,Hard,
,46,Permutations   ,,41.90%,Medium,
,47,Permutations II   ,,31.70%,Medium,
,48,Rotate Image   ,,37.80%,Medium,
,49,Group Anagrams   ,,33.10%,Medium,
,50,"Pow(x, n)   ",,26.70%,Medium,
,51,N-Queens   ,,29.80%,Hard,
,52,N-Queens II   ,,43.60%,Hard,
,53,Maximum Subarray   ,,39.20%,Easy,
,54,Spiral Matrix   ,,25.20%,Medium,
,55,Jump Game   ,,29.30%,Medium,
,56,Merge Intervals   ,,29.20%,Medium,
,57,Insert Interval   ,,26.90%,Hard,
,58,Length of Last Word   ,,31.50%,Easy,
,59,Spiral Matrix II   ,,38.70%,Medium,
,60,Permutation Sequence   ,,27.70%,Medium,
,61,Rotate List   ,,24.20%,Medium,
,62,Unique Paths   ,,40.00%,Medium,
,63,Unique Paths II   ,,31.30%,Medium,
,64,Minimum Path Sum   ,,37.70%,Medium,
,65,Valid Number   ,,12.70%,Hard,
,66,Plus One   ,,37.70%,Easy,
,67,Add Binary   ,,31.40%,Easy,
,68,Text Justification   ,,18.50%,Hard,
,69,Sqrt(x)   ,,27.40%,Easy,
,70,Climbing Stairs   ,,39.20%,Easy,
,71,Simplify Path   ,,24.60%,Medium,
,72,Edit Distance   ,,31.00%,Hard,
,73,Set Matrix Zeroes   ,,35.50%,Medium,
,74,Search a 2D Matrix   ,,35.30%,Medium,
,75,Sort Colors   ,,37.20%,Medium,
,76,Minimum Window Substring   ,,24.50%,Hard,
,77,Combinations   ,,38.60%,Medium,
,78,Subsets   ,,38.40%,Medium,
,79,Word Search   ,,26.00%,Medium,
,80,Remove Duplicates from Sorted Array II   ,,35.30%,Medium,
,81,Search in Rotated Sorted Array II   ,,32.80%,Medium,
,82,Remove Duplicates from Sorted List II   ,,29.00%,Medium,
,83,Remove Duplicates from Sorted List   ,,39.30%,Easy,
,84,Largest Rectangle in Histogram   ,,26.00%,Hard,
,85,Maximal Rectangle   ,,26.90%,Hard,
,86,Partition List   ,,32.00%,Medium,
,87,Scramble String   ,,28.60%,Hard,
,88,Merge Sorted Array   ,,31.70%,Easy,
,89,Gray Code   ,,40.10%,Medium,
,90,Subsets II   ,,34.90%,Medium,
,91,Decode Ways   ,,19.20%,Medium,
,92,Reverse Linked List II   ,,30.10%,Medium,
,93,Restore IP Addresses   ,,26.50%,Medium,
,94,Binary Tree Inorder Traversal   ,,45.10%,Medium,
,95,Unique Binary Search Trees II   ,,30.90%,Medium,
,96,Unique Binary Search Trees   ,,40.30%,Medium,
,97,Interleaving String   ,,24.20%,Hard,
,98,Validate Binary Search Tree   ,,22.80%,Medium,
,99,Recover Binary Search Tree   ,,29.20%,Hard,
,100,Same Tree   ,,45.80%,Easy,
,101,Symmetric Tree   ,,37.80%,Easy,
,102,Binary Tree Level Order Traversal   ,,38.20%,Medium,
,103,Binary Tree Zigzag Level Order Traversal   ,,33.30%,Medium,
,104,Maximum Depth of Binary Tree   ,,51.60%,Easy,
,105,Construct Binary Tree from Preorder and Inorder Traversal   ,,31.40%,Medium,
,106,Construct Binary Tree from Inorder and Postorder Traversal   ,,31.40%,Medium,
,107,Binary Tree Level Order Traversal II   ,,38.90%,Easy,
,108,Convert Sorted Array to Binary Search Tree   ,,41.20%,Easy,
,109,Convert Sorted List to Binary Search Tree   ,,33.30%,Medium,
,110,Balanced Binary Tree   ,,36.80%,Easy,
,111,Minimum Depth of Binary Tree   ,,32.70%,Easy,
,112,Path Sum   ,,33.40%,Easy,
,113,Path Sum II   ,,32.40%,Medium,
,114,Flatten Binary Tree to Linked List   ,,34.20%,Medium,
,115,Distinct Subsequences   ,,31.00%,Hard,
,116,Populating Next Right Pointers in Each Node   ,,36.90%,Medium,
,117,Populating Next Right Pointers in Each Node II   ,,33.60%,Medium,
,118,Pascal's Triangle   ,,37.50%,Easy,
,119,Pascal's Triangle II   ,,35.80%,Easy,
,120,Triangle   ,,33.00%,Medium,
,121,Best Time to Buy and Sell Stock   ,,40.10%,Easy,
,122,Best Time to Buy and Sell Stock II   ,,46.20%,Easy,
,123,Best Time to Buy and Sell Stock III   ,,28.70%,Hard,
,124,Binary Tree Maximum Path Sum   ,,25.50%,Hard,
,125,Valid Palindrome   ,,25.80%,Easy,
,126,Word Ladder II   ,,13.80%,Hard,
,127,Word Ladder   ,,19.30%,Medium,
,128,Longest Consecutive Sequence   ,,36.00%,Hard,
,129,Sum Root to Leaf Numbers   ,,35.80%,Medium,
,130,Surrounded Regions   ,,17.90%,Medium,
,131,Palindrome Partitioning   ,,31.90%,Medium,
,132,Palindrome Partitioning II   ,,23.70%,Hard,
,133,Clone Graph   ,,25.10%,Medium,
,134,Gas Station   ,,28.90%,Medium,
,135,Candy   ,,24.20%,Hard,
,136,Single Number   ,,53.60%,Easy,
,137,Single Number II   ,,40.70%,Medium,
,138,Copy List with Random Pointer   ,,26.50%,Medium,
,139,Word Break   ,,29.00%,Medium,
,140,Word Break II   ,,22.70%,Hard,
,141,Linked List Cycle   ,,35.50%,Easy,
,142,Linked List Cycle II   ,,31.00%,Medium,
,143,Reorder List   ,,25.00%,Medium,
,144,Binary Tree Preorder Traversal   ,,44.00%,Medium,
,145,Binary Tree Postorder Traversal   ,,39.20%,Hard,
,146,LRU Cache   ,,16.80%,Hard,
,147,Insertion Sort List   ,,32.40%,Medium,
,148,Sort List   ,,27.90%,Medium,
,149,Max Points on a Line   ,,15.50%,Hard,
,150,Evaluate Reverse Polish Notation   ,,26.50%,Medium,
,151,Reverse Words in a String   ,,15.70%,Medium,
,152,Maximum Product Subarray   ,,25.00%,Medium,
,153,Find Minimum in Rotated Sorted Array   ,,39.20%,Medium,
,154,Find Minimum in Rotated Sorted Array II   ,,36.60%,Hard,
,155,Min Stack   ,,27.40%,Easy,
,156,Binary Tree Upside Down   ,,43.60%,Medium,
,157,Read N Characters Given Read4   ,,29.20%,Easy,
,158,Read N Characters Given Read4 II - Call multiple times   ,,24.30%,Hard,
,159,Longest Substring with At Most Two Distinct Characters   ,,40.20%,Hard,
,160,Intersection of Two Linked Lists   ,,30.30%,Easy,
,161,One Edit Distance   ,,30.90%,Medium,
,162,Find Peak Element   ,,36.50%,Medium,
,163,Missing Ranges   ,,25.60%,Medium,
,164,Maximum Gap   ,,29.00%,Hard,
,165,Compare Version Numbers   ,,19.60%,Medium,
,166,Fraction to Recurring Decimal   ,,17.10%,Medium,
,167,Two Sum II - Input array is sorted   ,,47.30%,Easy,
,168,Excel Sheet Column Title   ,,25.20%,Easy,
,169,Majority Element   ,,45.60%,Easy,
,170,Two Sum III - Data structure design   ,,23.50%,Easy,
,171,Excel Sheet Column Number   ,,46.10%,Easy,
,172,Factorial Trailing Zeroes   ,,35.40%,Easy,
,173,Binary Search Tree Iterator   ,,40.10%,Medium,
,174,Dungeon Game   ,,23.30%,Hard,
,179,Largest Number   ,,22.00%,Medium,
,186,Reverse Words in a String II   ,,27.80%,Medium,
,187,Repeated DNA Sequences   ,,30.50%,Medium,
,188,Best Time to Buy and Sell Stock IV   ,,24.10%,Hard,
,189,Rotate Array   ,,24.00%,Easy,
,190,Reverse Bits   ,,29.50%,Easy,
,191,Number of 1 Bits   ,,39.00%,Easy,
,198,House Robber   ,,38.10%,Easy,
,199,Binary Tree Right Side View   ,,39.70%,Medium,
,200,Number of Islands   ,,33.40%,Medium,
,201,Bitwise AND of Numbers Range   ,,33.50%,Medium,
,202,Happy Number   ,,39.90%,Easy,
,203,Remove Linked List Elements   ,,31.60%,Easy,
,204,Count Primes   ,,26.30%,Easy,
,205,Isomorphic Strings   ,,33.10%,Easy,
,206,Reverse Linked List   ,,44.50%,Easy,
,207,Course Schedule   ,,31.10%,Medium,
,208,Implement Trie (Prefix Tree)   ,,26.80%,Medium,
,209,Minimum Size Subarray Sum   ,,29.60%,Medium,
,210,Course Schedule II   ,,26.60%,Medium,
,211,Add and Search Word - Data structure design   ,,21.30%,Medium,
,212,Word Search II   ,,22.80%,Hard,
,213,House Robber II   ,,33.50%,Medium,
,214,Shortest Palindrome   ,,23.50%,Hard,
,215,Kth Largest Element in an Array   ,,38.30%,Medium,
,216,Combination Sum III   ,,43.40%,Medium,
,217,Contains Duplicate   ,,44.70%,Easy,
,218,The Skyline Problem   ,,26.50%,Hard,
,219,Contains Duplicate II   ,,31.90%,Easy,
,220,Contains Duplicate III   ,,19.30%,Medium,
,221,Maximal Square   ,,27.90%,Medium,
,222,Count Complete Tree Nodes   ,,27.10%,Medium,
,223,Rectangle Area   ,,32.40%,Medium,
,224,Basic Calculator   ,,26.20%,Hard,
,225,Implement Stack using Queues   ,,31.90%,Easy,
,226,Invert Binary Tree   ,,50.80%,Easy,
,227,Basic Calculator II   ,,28.60%,Medium,
,228,Summary Ranges   ,,28.80%,Medium,
,229,Majority Element II   ,,28.10%,Medium,
,230,Kth Smallest Element in a BST   ,,42.80%,Medium,
,231,Power of Two   ,,39.70%,Easy,
,232,Implement Queue using Stacks   ,,35.80%,Easy,
,233,Number of Digit One   ,,27.80%,Hard,
,234,Palindrome Linked List   ,,32.10%,Easy,
,235,Lowest Common Ancestor of a Binary Search Tree   ,,38.50%,Easy,
,236,Lowest Common Ancestor of a Binary Tree   ,,29.60%,Medium,
,237,Delete Node in a Linked List   ,,45.90%,Easy,
,238,Product of Array Except Self   ,,48.10%,Medium,
,239,Sliding Window Maximum   ,,32.10%,Hard,
,240,Search a 2D Matrix II   ,,38.00%,Medium,
,241,Different Ways to Add Parentheses   ,,42.40%,Medium,
,242,Valid Anagram   ,,45.60%,Easy,
,243,Shortest Word Distance   ,,51.50%,Easy,
,244,Shortest Word Distance II   ,,36.00%,Medium,
,245,Shortest Word Distance III   ,,49.80%,Medium,
,246,Strobogrammatic Number   ,,39.30%,Easy,
,247,Strobogrammatic Number II   ,,39.00%,Medium,
,248,Strobogrammatic Number III   ,,31.10%,Hard,
,249,Group Shifted Strings   ,,40.10%,Medium,
,250,Count Univalue Subtrees   ,,41.20%,Medium,
,251,Flatten 2D Vector   ,,39.70%,Medium,
,252,Meeting Rooms   ,,46.40%,Easy,
,253,Meeting Rooms II   ,,38.70%,Medium,
,254,Factor Combinations   ,,41.70%,Medium,
,255,Verify Preorder Sequence in Binary Search Tree   ,,39.50%,Medium,
,256,Paint House   ,,45.90%,Easy,
,257,Binary Tree Paths   ,,36.70%,Easy,
,258,Add Digits   ,,50.60%,Easy,
,259,3Sum Smaller   ,,41.00%,Medium,
,260,Single Number III   ,,50.30%,Medium,
,261,Graph Valid Tree   ,,37.30%,Medium,
,263,Ugly Number   ,,38.80%,Easy,
,264,Ugly Number II   ,,32.00%,Medium,
,265,Paint House II   ,,37.70%,Hard,
,266,Palindrome Permutation   ,,56.20%,Easy,
,267,Palindrome Permutation II   ,,31.50%,Medium,
,268,Missing Number   ,,43.90%,Easy,
,269,Alien Dictionary   ,,22.70%,Hard,
,270,Closest Binary Search Tree Value   ,,38.80%,Easy,
,271,Encode and Decode Strings   ,,26.20%,Medium,
,272,Closest Binary Search Tree Value II   ,,38.30%,Hard,
,273,Integer to English Words   ,,21.60%,Hard,
,274,H-Index   ,,32.60%,Medium,
,275,H-Index II   ,,33.90%,Medium,
,276,Paint Fence   ,,34.10%,Easy,
,277,Find the Celebrity   ,,35.40%,Medium,
,278,First Bad Version   ,,24.80%,Easy,
,279,Perfect Squares   ,,35.80%,Medium,
,280,Wiggle Sort   ,,56.10%,Medium,
,281,Zigzag Iterator   ,,49.50%,Medium,
,282,Expression Add Operators   ,,29.20%,Hard,
,283,Move Zeroes   ,,48.90%,Easy,
,284,Peeking Iterator   ,,35.30%,Medium,
,285,Inorder Successor in BST   ,,36.10%,Medium,
,286,Walls and Gates   ,,43.40%,Medium,
,287,Find the Duplicate Number   ,,42.50%,Medium,
,288,Unique Word Abbreviation   ,,16.00%,Medium,
,289,Game of Life   ,,36.50%,Medium,
,290,Word Pattern   ,,32.50%,Easy,
,291,Word Pattern II   ,,37.80%,Hard,
,292,Nim Game   ,,55.00%,Easy,
,293,Flip Game   ,,54.80%,Easy,
,294,Flip Game II   ,,45.80%,Medium,
,295,Find Median from Data Stream   ,,24.90%,Hard,
,296,Best Meeting Point   ,,51.10%,Hard,
,297,Serialize and Deserialize Binary Tree   ,,32.60%,Hard,
,298,Binary Tree Longest Consecutive Sequence   ,,40.40%,Medium,
,299,Bulls and Cows   ,,33.90%,Medium,
,300,Longest Increasing Subsequence   ,,37.80%,Medium,
,301,Remove Invalid Parentheses   ,,35.00%,Hard,
,302,Smallest Rectangle Enclosing Black Pixels   ,,44.70%,Hard,
,303,Range Sum Query - Immutable   ,,27.80%,Easy,
,304,Range Sum Query 2D - Immutable   ,,23.80%,Medium,
,305,Number of Islands II   ,,38.60%,Hard,
,306,Additive Number   ,,27.20%,Medium,
,307,Range Sum Query - Mutable   ,,19.50%,Medium,
,308,Range Sum Query 2D - Mutable   ,,21.40%,Hard,
,309,Best Time to Buy and Sell Stock with Cooldown   ,,40.10%,Medium,
,310,Minimum Height Trees   ,,28.70%,Medium,
,311,Sparse Matrix Multiplication   ,,50.60%,Medium,
,312,Burst Balloons   ,,42.10%,Hard,
,313,Super Ugly Number   ,,37.30%,Medium,
,314,Binary Tree Vertical Order Traversal   ,,36.10%,Medium,
,315,Count of Smaller Numbers After Self   ,,34.10%,Hard,
,316,Remove Duplicate Letters   ,,29.10%,Hard,
,317,Shortest Distance from All Buildings   ,,33.50%,Hard,
,318,Maximum Product of Word Lengths   ,,43.20%,Medium,
,319,Bulb Switcher   ,,42.10%,Medium,
,320,Generalized Abbreviation   ,,44.20%,Medium,
,321,Create Maximum Number   ,,24.20%,Hard,
,322,Coin Change   ,,26.20%,Medium,
,323,Number of Connected Components in an Undirected Graph   ,,47.30%,Medium,
,324,Wiggle Sort II   ,,25.50%,Medium,
,325,Maximum Size Subarray Sum Equals k   ,,42.00%,Medium,
,326,Power of Three   ,,39.70%,Easy,
,327,Count of Range Sum   ,,29.30%,Hard,
,328,Odd Even Linked List   ,,42.70%,Medium,
,329,Longest Increasing Path in a Matrix   ,,35.80%,Hard,
,330,Patching Array   ,,31.70%,Hard,
,331,Verify Preorder Serialization of a Binary Tree   ,,35.60%,Medium,
,332,Reconstruct Itinerary   ,,28.50%,Medium,
,333,Largest BST Subtree   ,,30.10%,Medium,
,334,Increasing Triplet Subsequence   ,,38.50%,Medium,
,335,Self Crossing   ,,24.50%,Hard,
,336,Palindrome Pairs   ,,25.40%,Hard,
,337,House Robber III   ,,42.40%,Medium,
,338,Counting Bits   ,,60.20%,Medium,
,339,Nested List Weight Sum   ,,60.80%,Easy,
,340,Longest Substring with At Most K Distinct Characters   ,,38.50%,Hard,
,341,Flatten Nested List Iterator   ,,40.20%,Medium,
,342,Power of Four   ,,37.90%,Easy,
,343,Integer Break   ,,45.40%,Medium,
,344,Reverse String   ,,58.20%,Easy,
,345,Reverse Vowels of a String   ,,37.90%,Easy,
,346,Moving Average from Data Stream   ,,58.10%,Easy,
,347,Top K Frequent Elements   ,,47.10%,Medium,
,348,Design Tic-Tac-Toe   ,,45.70%,Medium,
,349,Intersection of Two Arrays   ,,46.50%,Easy,
,350,Intersection of Two Arrays II   ,,44.20%,Easy,
,351,Android Unlock Patterns   ,,43.10%,Medium,
,352,Data Stream as Disjoint Intervals   ,,39.40%,Hard,
,353,Design Snake Game   ,,26.10%,Medium,
,354,Russian Doll Envelopes   ,,32.00%,Hard,
,355,Design Twitter   ,,25.10%,Medium,
,356,Line Reflection   ,,30.30%,Medium,
,357,Count Numbers with Unique Digits   ,,45.50%,Medium,
,358,Rearrange String k Distance Apart   ,,31.80%,Hard,
,359,Logger Rate Limiter   ,,58.90%,Easy,
,360,Sort Transformed Array   ,,43.40%,Medium,
,361,Bomb Enemy   ,,38.50%,Medium,
,362,Design Hit Counter   ,,53.20%,Medium,
,363,Max Sum of Rectangle No Larger Than K   ,,32.50%,Hard,
,364,Nested List Weight Sum II   ,,51.20%,Medium,
,365,Water and Jug Problem   ,,26.60%,Medium,
,366,Find Leaves of Binary Tree   ,,58.40%,Medium,
,367,Valid Perfect Square   ,,37.80%,Easy,
,368,Largest Divisible Subset   ,,33.50%,Medium,
,369,Plus One Linked List   ,,53.70%,Medium,
,370,Range Addition   ,,54.50%,Medium,
,371,Sum of Two Integers   ,,51.10%,Easy,
,372,Super Pow   ,,33.70%,Medium,
,373,Find K Pairs with Smallest Sums   ,,30.30%,Medium,
,374,Guess Number Higher or Lower   ,,34.40%,Easy,
,375,Guess Number Higher or Lower II   ,,35.60%,Medium,
,376,Wiggle Subsequence   ,,35.00%,Medium,
,377,Combination Sum IV   ,,41.70%,Medium,
,378,Kth Smallest Element in a Sorted Matrix   ,,43.70%,Medium,
,379,Design Phone Directory   ,,31.20%,Medium,
,380,Insert Delete GetRandom O(1)   ,,38.90%,Medium,
,381,Insert Delete GetRandom O(1) - Duplicates allowed   ,,28.50%,Hard,
,382,Linked List Random Node   ,,46.50%,Medium,
,383,Ransom Note   ,,46.60%,Easy,
,384,Shuffle an Array   ,,45.60%,Medium,
,385,Mini Parser   ,,30.00%,Medium,
,386,Lexicographical Numbers   ,,40.40%,Medium,
,387,First Unique Character in a String   ,,46.10%,Easy,
,388,Longest Absolute File Path   ,,35.80%,Medium,
,389,Find the Difference   ,,51.40%,Easy,
,390,Elimination Game   ,,40.10%,Medium,
,391,Perfect Rectangle   ,,25.50%,Hard,
,392,Is Subsequence   ,,44.20%,Medium,
,393,UTF-8 Validation   ,,34.70%,Medium,
,394,Decode String   ,,40.90%,Medium,
,395,Longest Substring with At Least K Repeating Characters   ,,35.50%,Medium,
,396,Rotate Function   ,,31.30%,Medium,
,397,Integer Replacement   ,,29.60%,Medium,
,398,Random Pick Index   ,,41.60%,Medium,
,399,Evaluate Division   ,,40.20%,Medium,
,400,Nth Digit   ,,30.20%,Easy,
,401,Binary Watch   ,,44.60%,Easy,
,402,Remove K Digits   ,,26.10%,Medium,
,403,Frog Jump   ,,31.40%,Hard,
,404,Sum of Left Leaves   ,,46.40%,Easy,
,405,Convert a Number to Hexadecimal   ,,40.60%,Easy,
,406,Queue Reconstruction by Height   ,,54.80%,Medium,
,407,Trapping Rain Water II   ,,36.20%,Hard,
,408,Valid Word Abbreviation   ,,27.50%,Easy,
,409,Longest Palindrome   ,,44.90%,Easy,
,410,Split Array Largest Sum   ,,34.90%,Hard,
,411,Minimum Unique Word Abbreviation   ,,31.60%,Hard,
,412,Fizz Buzz   ,,58.70%,Easy,
,413,Arithmetic Slices   ,,54.90%,Medium,
,414,Third Maximum Number   ,,27.30%,Easy,
,415,Add Strings   ,,41.20%,Easy,
,416,Partition Equal Subset Sum   ,,38.40%,Medium,
,417,Pacific Atlantic Water Flow   ,,33.00%,Medium,
,418,Sentence Screen Fitting   ,,27.40%,Medium,
,419,Battleships in a Board   ,,60.90%,Medium,
,420,Strong Password Checker   ,,20.10%,Hard,
,421,Maximum XOR of Two Numbers in an Array   ,,44.40%,Medium,
,422,Valid Word Square   ,,36.10%,Easy,
,423,Reconstruct Original Digits from English   ,,43.10%,Medium,
,424,Longest Repeating Character Replacement   ,,41.30%,Medium,
,425,Word Squares   ,,42.50%,Hard,
,432,All O`one Data Structure   ,,27.50%,Hard,
,434,Number of Segments in a String   ,,37.00%,Easy,
,435,Non-overlapping Intervals   ,,40.20%,Medium,
,436,Find Right Interval   ,,41.10%,Medium,
,437,Path Sum III   ,,39.10%,Easy,
,438,Find All Anagrams in a String   ,,33.40%,Easy,
,439,Ternary Expression Parser   ,,50.20%,Medium,
,440,K-th Smallest in Lexicographical Order   ,,23.00%,Hard,
,441,Arranging Coins   ,,36.00%,Easy,
,442,Find All Duplicates in an Array   ,,53.30%,Medium,
,444,Sequence Reconstruction   ,,19.70%,Medium,
,445,Add Two Numbers II   ,,46.10%,Medium,
,446,Arithmetic Slices II - Subsequence   ,,25.00%,Hard,
,447,Number of Boomerangs   ,,43.80%,Easy,
,448,Find All Numbers Disappeared in an Array   ,,52.60%,Easy,
,449,Serialize and Deserialize BST   ,,42.10%,Medium,
,450,Delete Node in a BST   ,,35.70%,Medium,
,451,Sort Characters By Frequency   ,,50.50%,Medium,
,452,Minimum Number of Arrows to Burst Balloons   ,,43.10%,Medium,
,453,Minimum Moves to Equal Array Elements   ,,46.60%,Easy,
,454,4Sum II   ,,45.30%,Medium,
,455,Assign Cookies   ,,47.10%,Easy,
,456,132 Pattern   ,,28.30%,Medium,
,459,Repeated Substring Pattern   ,,38.40%,Easy,
,460,LFU Cache   ,,22.30%,Hard,
,461,Hamming Distance   ,,70.60%,Easy,
,462,Minimum Moves to Equal Array Elements II   ,,51.20%,Medium,
,463,Island Perimeter   ,,56.60%,Easy,
,464,Can I Win   ,,23.70%,Medium,
,465,Optimal Account Balancing   ,,33.40%,Hard,
,466,Count The Repetitions   ,,26.10%,Hard,
,467,Unique Substrings in Wraparound String   ,,31.20%,Medium,
,468,Validate IP Address   ,,20.20%,Medium,
,469,Convex Polygon   ,,30.50%,Medium,
,471,Encode String with Shortest Length   ,,41.90%,Hard,
,472,Concatenated Words   ,,29.70%,Hard,
,473,Matchsticks to Square   ,,34.20%,Medium,
,474,Ones and Zeroes   ,,37.60%,Medium,
,475,Heaters   ,,29.70%,Easy,
,476,Number Complement   ,,61.00%,Easy,
,477,Total Hamming Distance   ,,46.20%,Medium,
,480,Sliding Window Median   ,,31.00%,Hard,
,481,Magical String   ,,45.10%,Medium,
,482,License Key Formatting   ,,41.20%,Medium,
,483,Smallest Good Base   ,,31.00%,Hard,
,484,Find Permutation   ,,52.00%,Medium,
,485,Max Consecutive Ones   ,,54.40%,Easy,
,486,Predict the Winner   ,,44.30%,Medium,
,487,Max Consecutive Ones II   ,,44.10%,Medium,
,488,Zuma Game   ,,36.60%,Hard,
,490,The Maze   ,,42.30%,Medium,
,491,Increasing Subsequences   ,,38.50%,Medium,
,492,Construct the Rectangle   ,,48.90%,Easy,
,493,Reverse Pairs   ,,18.90%,Hard,
,494,Target Sum   ,,43.90%,Medium,
,495,Teemo Attacking   ,,51.70%,Medium,
,496,Next Greater Element I   ,,57.50%,Easy,
,498,Diagonal Traverse   ,,46.30%,Medium,
,499,The Maze III   ,,31.40%,Hard,
,500,Keyboard Row   ,,60.10%,Easy,
,501,Find Mode in Binary Search Tree   ,,38.40%,Easy,
,502,IPO   ,,34.30%,Hard,
,503,Next Greater Element II   ,,47.00%,Medium,
,504,Base 7   ,,45.60%,Easy,
,505,The Maze II   ,,35.80%,Medium,
,506,Relative Ranks   ,,47.40%,Easy,
,507,Perfect Number   ,,32.60%,Easy,
,508,Most Frequent Subtree Sum   ,,51.70%,Medium,
,513,Find Bottom Left Tree Value   ,,55.50%,Medium,
,514,Freedom Trail   ,,33.70%,Hard,
,515,Find Largest Value in Each Tree Row   ,,53.50%,Medium,
,516,Longest Palindromic Subsequence   ,,42.10%,Medium,
,517,Super Washing Machines   ,,35.50%,Hard,
,520,Detect Capital   ,,52.50%,Easy,
,521,Longest Uncommon Subsequence I   ,,47.00%,Easy,
,522,Longest Uncommon Subsequence II   ,,26.10%,Medium,
,523,Continuous Subarray Sum   ,,21.60%,Medium,
,524,Longest Word in Dictionary through Deleting   ,,40.60%,Medium,
,525,Contiguous Array   ,,35.30%,Medium,
,526,Beautiful Arrangement   ,,53.90%,Medium,
,527,Word Abbreviation   ,,34.30%,Hard,
,529,Minesweeper   ,,52.20%,Medium,
,530,Minimum Absolute Difference in BST   ,,47.80%,Easy,
,531,Lonely Pixel I   ,,51.10%,Medium,
,532,K-diff Pairs in an Array   ,,27.30%,Easy,
,533,Lonely Pixel II   ,,39.30%,Medium,
,535,Encode and Decode TinyURL   ,,74.60%,Medium,
,536,Construct Binary Tree from String   ,,36.90%,Medium,
,537,Complex Number Multiplication   ,,66.80%,Medium,
,538,Convert BST to Greater Tree   ,,52.90%,Medium,
,539,Minimum Time Difference   ,,45.10%,Medium,
,541,Reverse String II   ,,44.10%,Easy,
,542,01 Matrix   ,,33.30%,Medium,
,543,Diameter of Binary Tree   ,,42.20%,Easy,
,544,Output Contest Matches   ,,72.90%,Medium,
,545,Boundary of Binary Tree   ,,27.10%,Medium,
,546,Remove Boxes   ,,28.30%,Hard,
,547,Friend Circles   ,,49.30%,Medium,
,548,Split Array with Equal Sum   ,,28.10%,Medium,
,549,Binary Tree Longest Consecutive Sequence II   New,,31.00%,Medium,
,554,Brick Wall   New,,34.20%,Medium,
,556,Next Greater Element III   New,,24.70%,Medium,
,557,Reverse Words in a String III   New,,68.70%,Easy,
